[PC Hunter Standard][IDT]: 1536
Cpu序号		序号		函数名称		段选择子		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		82		KiUnexpectedInterrupt82		0x02		0xFFFFF80460131690		-		0xFFFFF80460131690		C:\Windows\system32\ntoskrnl.exe
0		83		KiUnexpectedInterrupt83		0x02		0xFFFFF80460131698		-		0xFFFFF80460131698		C:\Windows\system32\ntoskrnl.exe
0		84		KiUnexpectedInterrupt84		0x02		0xFFFFF804601316A0		-		0xFFFFF804601316A0		C:\Windows\system32\ntoskrnl.exe
0		85		KiUnexpectedInterrupt85		0x02		0xFFFFF804601316A8		-		0xFFFFF804601316A8		C:\Windows\system32\ntoskrnl.exe
0		86		KiUnexpectedInterrupt86		0x02		0xFFFFF804601316B0		-		0xFFFFF804601316B0		C:\Windows\system32\ntoskrnl.exe
0		87		KiUnexpectedInterrupt87		0x02		0xFFFFF804601316B8		-		0xFFFFF804601316B8		C:\Windows\system32\ntoskrnl.exe
0		88		KiUnexpectedInterrupt88		0x02		0xFFFFF804601316C0		-		0xFFFFF804601316C0		C:\Windows\system32\ntoskrnl.exe
0		89		KiUnexpectedInterrupt89		0x02		0xFFFFF804601316C8		-		0xFFFFF804601316C8		C:\Windows\system32\ntoskrnl.exe
0		8A		KiUnexpectedInterrupt90		0x02		0xFFFFF804601316D0		-		0xFFFFF804601316D0		C:\Windows\system32\ntoskrnl.exe
0		8B		KiUnexpectedInterrupt91		0x02		0xFFFFF804601316D8		-		0xFFFFF804601316D8		C:\Windows\system32\ntoskrnl.exe
0		8C		KiUnexpectedInterrupt92		0x02		0xFFFFF804601316E0		-		0xFFFFF804601316E0		C:\Windows\system32\ntoskrnl.exe
0		8D		KiUnexpectedInterrupt93		0x02		0xFFFFF804601316E8		-		0xFFFFF804601316E8		C:\Windows\system32\ntoskrnl.exe
0		8E		KiUnexpectedInterrupt94		0x02		0xFFFFF804601316F0		-		0xFFFFF804601316F0		C:\Windows\system32\ntoskrnl.exe
0		8F		KiUnexpectedInterrupt95		0x02		0xFFFFF804601316F8		-		0xFFFFF804601316F8		C:\Windows\system32\ntoskrnl.exe
0		90		KiUnexpectedInterrupt96		0x02		0xFFFFF80460131700		-		0xFFFFF80460131700		C:\Windows\system32\ntoskrnl.exe
0		91		KiUnexpectedInterrupt97		0x02		0xFFFFF80460131708		-		0xFFFFF80460131708		C:\Windows\system32\ntoskrnl.exe
0		92		KiUnexpectedInterrupt98		0x02		0xFFFFF80460131710		-		0xFFFFF80460131710		C:\Windows\system32\ntoskrnl.exe
0		93		KiUnexpectedInterrupt99		0x02		0xFFFFF80460131718		-		0xFFFFF80460131718		C:\Windows\system32\ntoskrnl.exe
0		94		KiUnexpectedInterrupt100		0x02		0xFFFFF80460131720		-		0xFFFFF80460131720		C:\Windows\system32\ntoskrnl.exe
0		95		KiUnexpectedInterrupt101		0x02		0xFFFFF80460131728		-		0xFFFFF80460131728		C:\Windows\system32\ntoskrnl.exe
0		96		KiUnexpectedInterrupt102		0x02		0xFFFFF80460131730		-		0xFFFFF80460131730		C:\Windows\system32\ntoskrnl.exe
0		97		KiUnexpectedInterrupt103		0x02		0xFFFFF80460131738		-		0xFFFFF80460131738		C:\Windows\system32\ntoskrnl.exe
0		98		KiUnexpectedInterrupt104		0x02		0xFFFFF80460131740		-		0xFFFFF80460131740		C:\Windows\system32\ntoskrnl.exe
0		99		KiUnexpectedInterrupt105		0x02		0xFFFFF80460131748		-		0xFFFFF80460131748		C:\Windows\system32\ntoskrnl.exe
0		9A		KiUnexpectedInterrupt106		0x02		0xFFFFF80460131750		-		0xFFFFF80460131750		C:\Windows\system32\ntoskrnl.exe
0		9B		KiUnexpectedInterrupt107		0x02		0xFFFFF80460131758		-		0xFFFFF80460131758		C:\Windows\system32\ntoskrnl.exe
0		9C		KiUnexpectedInterrupt108		0x02		0xFFFFF80460131760		-		0xFFFFF80460131760		C:\Windows\system32\ntoskrnl.exe
0		9D		KiUnexpectedInterrupt109		0x02		0xFFFFF80460131768		-		0xFFFFF80460131768		C:\Windows\system32\ntoskrnl.exe
0		9E		KiUnexpectedInterrupt110		0x02		0xFFFFF80460131770		-		0xFFFFF80460131770		C:\Windows\system32\ntoskrnl.exe
0		9F		KiUnexpectedInterrupt111		0x02		0xFFFFF80460131778		-		0xFFFFF80460131778		C:\Windows\system32\ntoskrnl.exe
