[PC Hunter Standard][ObjectType Hook]: 384
函数名		当前函数地址		Hook		原始函数地址		Object类型		Object地址		当前函数地址所在模块
CloseProcedure		0xFFFFF80853613330		-		-		TmTx		0xFFFFCD87EAAF47A0		C:\Windows\System32\drivers\tm.sys
DeleteProcedure		0xFFFFF80853613360		-		-		TmTx		0xFFFFCD87EAAF47A0		C:\Windows\System32\drivers\tm.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		TmTx		0xFFFFCD87EAAF47A0		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF808536B8F90		-		-		FilterConnectionPort		0xFFFFCD87EABFB900		C:\Windows\System32\drivers\FLTMGR.SYS
DeleteProcedure		0xFFFFF808536B9020		-		-		FilterConnectionPort		0xFFFFCD87EABFB900		C:\Windows\System32\drivers\FLTMGR.SYS
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		FilterConnectionPort		0xFFFFCD87EABFB900		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		KeyedEvent		0xFFFFCD87EAA886C0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804604CD530		-		-		Callback		0xFFFFCD87EAA87D20		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Callback		0xFFFFCD87EAA87D20		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF8045FF1DA40		-		-		WaitCompletionPacket		0xFFFFCD87EAAF4640		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		WaitCompletionPacket		0xFFFFCD87EAAF4640		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		UserApcReserve		0xFFFFCD87EAA87640		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463D24270		-		-		DxgkDisplayManagerObject		0xFFFFCD87EC9A7980		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463D2EB50		-		-		DxgkDisplayManagerObject		0xFFFFCD87EC9A7980		C:\Windows\System32\drivers\dxgkrnl.sys
